device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
1825440309,1031529627854,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620400996
1825451412,1031529638957,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401005
1825462515,1031529650054,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401017
1825473619,1031529661149,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401028
1825484722,1031529672242,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401038
1825495825,1031529683334,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401057
1825506928,1031529694428,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401078
1825518031,1031529705529,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401078
1825529134,1031529716631,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401083
1825540237,1031529727733,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401095
1825551340,1031529738834,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401107
1825562444,1031529749937,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-155.2172088623047, -93.29397583007812, 875.968994140625)","(0.7481545805931091, 0.6792796850204468, 0.988986074924469)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401117
1825573547,1031529761038,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-150.15101623535156, -90.19786071777344, 847.2503662109375)","(0.7481919527053833, 0.6791953444480896, 0.930334210395813)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401136
1825599691,1031529787179,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-150.5771942138672, -87.83434295654297, 847.3060302734375)","(0.7488574981689453, 0.6738853454589844, 0.9301050901412964)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401151
1825610794,1031529798280,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-152.7463836669922, -86.34988403320312, 847.1063842773438)","(0.7525390386581421, 0.6705639958381653, 0.9301756620407104)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401162
1825621897,1031529809382,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.1110076904297, -84.78694152832031, 847.2847900390625)","(0.7530749440193176, 0.6670193076133728, 0.930344820022583)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401173
1825633001,1031529820485,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.33822631835938, -84.80403900146484, 847.2417602539062)","(0.7534697651863098, 0.6670624017715454, 0.9303444623947144)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401212
1825644104,1031529831586,"(0.6084213256835938, 0.5112528204917908)","(39.85883331298828, 111.83378601074219, 32.658302307128906)",1,4.6529541015625,1,"(-154.41513061523438, -84.40402221679688, 847.12890625)","(0.7553070187568665, 0.6661698222160339, 0.9304282069206238)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401212,0.6084213256835938,0.5112528204917908
1825655207,1031529842688,"(0.6084213256835938, 0.5112528204917908)","(39.85883331298828, 111.83378601074219, 32.658302307128906)",1,4.6529541015625,1,"(-155.52523803710938, -83.3407974243164, 846.9441528320312)","(0.7572133541107178, 0.6638074517250061, 0.93025803565979)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401213,0.6084213256835938,0.5112528204917908
1825666310,1031529853793,"(0.6634055376052856, 0.42372533679008484)","(60.07206344604492, 128.84165954589844, 38.84865951538086)",1,4.551116943359375,1,"(-159.43942260742188, -82.86022186279297, 857.250244140625)","(0.760547399520874, 0.6604605317115784, 0.9517588019371033)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401219,0.6634055376052856,0.42372533679008484
1825677413,1031529864902,"(0.617438018321991, 0.4686239957809448)","(43.173545837402344, 120.11717224121094, 35.67325210571289)",1,4.582122802734375,1,"(-164.08543395996094, -84.21806335449219, 873.95068359375)","(0.763050377368927, 0.6598735451698303, 0.9864002466201782)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401230,0.617438018321991,0.4686239957809448
1825688516,1031529876011,"(0.617438018321991, 0.4686239957809448)","(43.173545837402344, 120.11717224121094, 35.67325210571289)",1,4.582122802734375,1,"(-162.79876708984375, -85.49547576904297, 874.0645751953125)","(0.7609387636184692, 0.6626467108726501, 0.986395001411438)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401243,0.617438018321991,0.4686239957809448
1825699619,1031529887121,"(0.5420704483985901, 0.5746384859085083)","(15.46702766418457, 99.51699829101562, 28.1754207611084)",1,4.6949920654296875,1,"(-163.17044067382812, -85.44496154785156, 874.003662109375)","(0.7615615725517273, 0.6625424027442932, 0.9864017367362976)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401251,0.5420704483985901,0.5746384859085083
1825710722,1031529898229,"(0.5543051362037659, 0.5066483020782471)","(19.964717864990234, 112.72850799560547, 32.98392105102539)",1,4.8441619873046875,1,"(-164.0308837890625, -86.04756164550781, 873.7461547851562)","(0.7630491852760315, 0.6638864278793335, 0.9863287210464478)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401263,0.5543051362037659,0.5066483020782471
1825721826,1031529909332,"(0.5811687707901001, 0.4859321117401123)","(29.84031105041504, 116.75395965576172, 34.4490852355957)",1,4.805206298828125,1,"(-167.1842041015625, -84.03489685058594, 878.9910888671875)","(0.7665247321128845, 0.6583881378173828, 0.9973734021186829)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401274,0.5811687707901001,0.4859321117401123
1825732929,1031529920435,"(0.5811687707901001, 0.4859321117401123)","(29.84031105041504, 116.75395965576172, 34.4490852355957)",1,4.805206298828125,1,"(-166.74722290039062, -85.71481323242188, 878.9635009765625)","(0.7658487558364868, 0.6620259881019592, 0.9974742531776428)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401285,0.5811687707901001,0.4859321117401123
1825744032,1031529931537,"(0.579695999622345, 0.4984625279903412)","(29.29888153076172, 114.31912994384766, 33.56287384033203)",1,4.8179931640625,1,"(-171.41957092285156, -85.18302154541016, 893.9819946289062)","(0.7687234282493591, 0.6577566266059875, 1.0284907817840576)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401297,0.579695999622345,0.4984625279903412
1825755135,1031529942639,"(0.5504000186920166, 0.5585073232650757)","(18.529123306274414, 102.65154266357422, 29.31617546081543)",1,4.8954620361328125,1,"(-171.27899169921875, -86.31796264648438, 893.8920288085938)","(0.7685422301292419, 0.660184383392334, 1.028475046157837)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401308,0.5504000186920166,0.5585073232650757
1825766238,1031529953742,"(0.5504000186920166, 0.5585073232650757)","(18.529123306274414, 102.65154266357422, 29.31617546081543)",1,4.8954620361328125,1,"(-170.83250427246094, -86.2503662109375, 893.988525390625)","(0.7678013443946838, 0.6600303053855896, 1.0284838676452637)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401318,0.5504000186920166,0.5585073232650757
