device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
4414156944,603137770941,"(0.2604074478149414, 0.9117152094841003)","(-88.0775375366211, 34.018001556396484, 4.335691452026367)",1,4.217864990234375,1,"(-84.10880279541016, -94.3343276977539, 820.6931762695312)","(0.6419872045516968, 0.6965842247009277, 0.8607354760169983)",1,"(0.29697075486183167, 0.9226959347724915)","(-74.63619232177734, 31.884307861328125, 3.5590460300445557)",1,3.6795654296875,1,"(-26.771928787231445, -97.11592864990234, 824.9183349609375)","(0.5424090623855591, 0.7030816674232483, 0.8620932698249817)",1,1706192011599,0.28,0.92
4414168047,603137782044,"(0.26137053966522217, 0.9091871976852417)","(-87.7234878540039, 34.50926971435547, 4.5144782066345215)",1,4.2715301513671875,1,"(-84.07415771484375, -94.31157684326172, 820.4769287109375)","(0.6419655680656433, 0.6965894103050232, 0.8602957725524902)",1,"(0.2984323501586914, 0.923349916934967)","(-74.09886932373047, 31.757234573364258, 3.512791872024536)",1,3.689361572265625,1,"(-26.757421493530273, -97.07382202148438, 824.69775390625)","(0.5423961877822876, 0.7030447721481323, 0.8616445064544678)",1,1706192011610,0.28,0.92
4414179150,603137793153,"(0.2623079717159271, 0.9043760299682617)","(-87.37886047363281, 35.44414520263672, 4.854739665985107)",1,4.269256591796875,1,"(-84.09500885009766, -94.37830352783203, 820.8212890625)","(0.6419409513473511, 0.6966524124145508, 0.8609958291053772)",1,"(0.2998269200325012, 0.9202197194099426)","(-73.5862045288086, 32.36549758911133, 3.7341818809509277)",1,3.678619384765625,1,"(-26.75806427001953, -97.12551879882812, 825.0408935546875)","(0.5423782467842102, 0.7030709385871887, 0.8623380064964294)",1,1706192011621,0.28,0.91
4414190253,603137804265,"(0.25766101479530334, 0.9032913446426392)","(-89.0871810913086, 35.65491485595703, 4.931427478790283)",1,4.277862548828125,1,"(-83.99406433105469, -94.36180114746094, 820.6383056640625)","(0.6417984962463379, 0.696664571762085, 0.8606100082397461)",1,"(0.30043256282806396, 0.9353034496307373)","(-73.36356353759766, 29.43448829650879, 2.667367935180664)",1,3.67578125,1,"(-26.671201705932617, -97.09492492675781, 824.8497314453125)","(0.5422390103340149, 0.7030541300773621, 0.8619456887245178)",1,1706192011632,0.28,0.92
4414201356,603137815377,"(0.27113860845565796, 0.8951528072357178)","(-84.13256072998047, 37.236351013183594, 5.507032871246338)",1,4.2114410400390625,1,"(-83.89006805419922, -94.342041015625, 820.3330688476562)","(0.6416726112365723, 0.6967015862464905, 0.8599811792373657)",1,"(0.2986989915370941, 0.942288875579834)","(-74.0008544921875, 28.07712745666504, 2.1733152866363525)",1,3.6760711669921875,1,"(-26.589731216430664, -97.06281280517578, 824.5364379882812)","(0.5421160459518433, 0.7030665278434753, 0.8613108992576599)",1,1706192011643,0.28,0.92
4414212459,603137826491,"(0.27285951375961304, 0.8995211124420166)","(-83.49990844726562, 36.38751983642578, 5.198078632354736)",1,4.216796875,1,"(-83.82550048828125, -94.42340850830078, 820.5731811523438)","(0.6415189504623413, 0.6968276500701904, 0.8604611754417419)",1,"(0.2998411953449249, 0.9475029110908508)","(-73.58097076416016, 27.06397819519043, 1.8045612573623657)",1,3.675506591796875,1,"(-26.51621437072754, -97.14601135253906, 824.7716674804688)","(0.541977047920227, 0.7031958103179932, 0.8617927432060242)",1,1706192011679,0.29,0.92
4414223562,603137837602,"(0.2735118567943573, 0.9147986769676208)","(-83.2601089477539, 33.41886520385742, 4.117519378662109)",1,4.2133331298828125,1,"(-83.673095703125, -94.44475555419922, 820.3658447265625)","(0.6412920951843262, 0.6969348788261414, 0.8600254058837891)",1,"(0.2991243004798889, 0.9315921664237976)","(-73.84449768066406, 30.155668258666992, 2.9298460483551025)",1,3.663330078125,1,"(-26.382625579833984, -97.17809295654297, 824.5552978515625)","(0.5417594909667969, 0.7033308148384094, 0.8613621592521667)",1,1706192011679,0.29,0.92
4414234665,603137848707,"(0.26427823305130005, 0.8936291933059692)","(-86.65455627441406, 37.53241729736328, 5.614735126495361)",1,4.15142822265625,1,"(-83.51175689697266, -94.48129272460938, 820.0848999023438)","(0.6410630345344543, 0.6970968842506409, 0.8594458103179932)",1,"(0.297212690114975, 0.9245696067810059)","(-74.54724884033203, 31.520246505737305, 3.4265143871307373)",1,3.653656005859375,1,"(-26.24885368347168, -97.2308349609375, 824.2656860351562)","(0.5415459871292114, 0.7035332918167114, 0.860791027545929)",1,1706192011680,0.28,0.91
4414245769,603137859812,"(0.2626119554042816, 0.8937305212020874)","(-87.26712036132812, 37.51274108886719, 5.607568740844727)",1,4.1575164794921875,1,"(-83.38652801513672, -94.5689468383789, 820.2239990234375)","(0.6408223509788513, 0.6972654461860657, 0.8597157001495361)",1,"(0.2988187372684479, 0.9243117570877075)","(-73.95681762695312, 31.570341110229492, 3.444742202758789)",1,3.671661376953125,1,"(-26.123004913330078, -97.34405517578125, 824.398681640625)","(0.5413230657577515, 0.7037602663040161, 0.8610737323760986)",1,1706192011694,0.28,0.91
4414256872,603137870916,"(0.2619549334049225, 0.8819330334663391)","(-87.5086669921875, 39.805152893066406, 6.442015647888184)",1,4.171112060546875,1,"(-83.21809387207031, -94.63907623291016, 820.099609375)","(0.6405534148216248, 0.6974639892578125, 0.8594518899917603)",1,"(0.2971194088459015, 0.9337052702903748)","(-74.58152770996094, 29.74502944946289, 2.780407428741455)",1,3.687347412109375,1,"(-25.97663116455078, -97.4405288696289, 824.2657470703125)","(0.5410794615745544, 0.7040212750434875, 0.8608232140541077)",1,1706192011699,0.28,0.91
