device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
4190441459,253672802962,"(0.15693597495555878, 0.3327203392982483)","(-126.11557006835938, 146.5252685546875, 45.28497314453125)",1,4.1020660400390625,1,"(-125.5438232421875, 1.8720539808273315, 851.50537109375)","(0.7045068144798279, 0.47362464666366577, 0.9214251637458801)",1,"(0.18861812353134155, 0.3849360942840576)","(-114.46861267089844, 136.37899780273438, 41.59199905395508)",1,3.8800506591796875,1,"(-65.57625579833984, -5.0389275550842285, 858.2804565429688)","(0.6035163998603821, 0.49017563462257385, 0.9215933680534363)",1,1705311234579,0.17,0.36
4190452562,253672814065,"(0.15866893529891968, 0.3377840220928192)","(-125.47850799560547, 145.5413360595703, 44.926841735839844)",1,4.098785400390625,1,"(-125.32474517822266, 1.964260458946228, 852.0693359375)","(0.70400071144104, 0.47342821955680847, 0.922477662563324)",1,"(0.18991823494434357, 0.36926233768463135)","(-113.99067687988281, 139.42466735839844, 42.700504302978516)",1,3.8455352783203125,1,"(-65.35626983642578, -5.013134956359863, 858.8242797851562)","(0.6030825972557068, 0.4901168942451477, 0.9226441383361816)",1,1705311234591,0.17,0.35
4190463665,253672825162,"(0.1551188975572586, 0.28892600536346436)","(-126.7835693359375, 155.03515625, 48.382301330566406)",1,4.09912109375,1,"(-125.29415130615234, 2.219444990158081, 852.7227172851562)","(0.7037856578826904, 0.4728662967681885, 0.9237629175186157)",1,"(0.189420685172081, 0.34523722529411316)","(-114.173583984375, 144.0930633544922, 44.39970779418945)",1,3.846923828125,1,"(-65.34394836425781, -4.786801815032959, 859.4669189453125)","(0.6029778718948364, 0.4896101653575897, 0.9239212870597839)",1,1705311234602,0.17,0.32
4190474768,253672836259,"(0.15849390625953674, 0.28568828105926514)","(-125.54286193847656, 155.664306640625, 48.61129379272461)",1,4.0793609619140625,1,"(-124.8192367553711, 2.212491989135742, 852.9818115234375)","(0.7029299139976501, 0.47289377450942993, 0.9241377115249634)",1,"(0.19617313146591187, 0.3504998981952667)","(-111.69126892089844, 143.07044982910156, 44.02751541137695)",1,3.79473876953125,1,"(-64.90164947509766, -4.861598968505859, 859.6885375976562)","(0.6022188663482666, 0.48978185653686523, 0.9242972135543823)",1,1705311234643,0.18,0.32
4190485871,253672847356,"(0.14067481458187103, 0.2463625818490982)","(-132.09349060058594, 163.30587768554688, 51.39260482788086)",1,4.0716094970703125,1,"(-124.82247161865234, 2.4800922870635986, 853.7543334960938)","(0.7027430534362793, 0.47230568528175354, 0.9256688356399536)",1,"(0.16353058815002441, 0.30409952998161316)","(-123.69127655029297, 152.08673095703125, 47.3091926574707)",1,3.8113555908203125,1,"(-64.90528869628906, -4.657357215881348, 860.4532470703125)","(0.6021263003349304, 0.4893230199813843, 0.925820529460907)",1,1705311234644,0.15,0.28
4190496974,253672858452,"(0.06741174310445786, 0.10828942060470581)","(-159.02635192871094, 190.13555908203125, 61.15778732299805)",1,4.0448150634765625,1,"(-124.83560180664062, 2.6480064392089844, 855.162109375)","(0.7024200558662415, 0.4719460606575012, 0.9284595847129822)",1,"(0.1217832937836647, 0.2392352968454361)","(-139.03836059570312, 164.6907958984375, 51.89671325683594)",1,3.786376953125,1,"(-64.88040924072266, -4.546383857727051, 861.852783203125)","(0.6019092202186584, 0.48906466364860535, 0.9286068081855774)",1,1705311234644,0.09,0.17
4190508077,253672869551,"(0.05579736828804016, 0.0939054861664772)","(-163.29600524902344, 192.93055725097656, 62.17507553100586)",1,4.07781982421875,1,"(-124.23522186279297, 2.6920506954193115, 853.674560546875)","(0.7017804980278015, 0.47184574604034424, 0.9253427982330322)",1,"(0.11029154807329178, 0.2096584290266037)","(-143.26295471191406, 170.43801879882812, 53.98853302001953)",1,3.8189544677734375,1,"(-64.47036743164062, -4.533934593200684, 860.3201904296875)","(0.6014217138290405, 0.48906099796295166, 0.9254886507987976)",1,1705311234646,0.08,0.15
4190519180,253672880653,"(0.06751813739538193, 0.07424693554639816)","(-158.98724365234375, 196.75051879882812, 63.565425872802734)",1,3.9805450439453125,1,"(-124.35326385498047, 3.059974431991577, 854.4703979492188)","(0.7017789483070374, 0.4710341691970825, 0.9269543290138245)",1,"(0.10730181634426117, 0.20602431893348694)","(-144.3620147705078, 171.14418029785156, 54.245540618896484)",1,3.8389892578125,1,"(-64.6567153930664, -4.1385111808776855, 861.1095581054688)","(0.6016260981559753, 0.48817792534828186, 0.9270868897438049)",1,1705311234660,0.09,0.14
4190530284,253672891756,"(0.06687293946743011, -0.011487324722111225)","(-159.22442626953125, 213.4099578857422, 69.62895202636719)",1,3.9539337158203125,1,"(-123.88541412353516, 2.957461357116699, 855.1946411132812)","(0.7008264660835266, 0.4712790846824646, 0.9282525777816772)",1,"(0.09993109852075577, 0.1796175092458725)","(-147.0716094970703, 176.2754364013672, 56.113128662109375)",1,3.836669921875,1,"(-64.1983642578125, -4.273279190063477, 861.7958984375)","(0.6007859706878662, 0.4884777069091797, 0.9283886551856995)",1,1705311234668,0.08,0.08
4190541387,253672902859,"(0.17889553308486938, -0.055754538625478745)","(-118.04283142089844, 222.01170349121094, 72.75975799560547)",1,3.4936370849609375,1,"(-123.27766418457031, 2.905829906463623, 854.218994140625)","(0.7000501751899719, 0.4713958203792572, 0.9261469841003418)",1,"(0.10380320250988007, 0.18442334234714508)","(-145.64816284179688, 175.34161376953125, 55.773223876953125)",1,3.8307037353515625,1,"(-63.69939422607422, -4.380771636962891, 860.7777709960938)","(0.6000881195068359, 0.4887343645095825, 0.9262852668762207)",1,1705311234679,0.14,0.06
