device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
24500017481,2095528735011,"(0.6367809772491455, 0.40903547406196594)","(50.284393310546875, 131.69610595703125, 39.887630462646484)",1,3.720947265625,1,"(-127.67597198486328, 129.4010772705078, 821.107177734375)","(0.7140904664993286, 0.17839980125427246, 0.8819782733917236)",1,"(0.7478127479553223, 0.7772740721702576)","(91.10171508789062, 60.141937255859375, 13.843949317932129)",1,3.5057373046875,1,"(-66.89129638671875, 113.68318176269531, 826.01220703125)","(0.6082257628440857, 0.21763315796852112, 0.8729548454284668)",1,1704723778652,0.69,0.59
24500028584,2095528746114,"(0.6367571353912354, 0.41926851868629456)","(50.275604248046875, 129.70770263671875, 39.163902282714844)",1,3.7176055908203125,1,"(-127.46482849121094, 129.3959197998047, 820.9330444335938)","(0.7137708067893982, 0.17835216224193573, 0.8815727829933167)",1,"(0.7423394322395325, 0.7838702201843262)","(89.0896224975586, 58.86021423339844, 13.377426147460938)",1,3.5215301513671875,1,"(-66.68012237548828, 113.6884765625, 825.824951171875)","(0.6078872680664062, 0.21756580471992493, 0.872552752494812)",1,1704723778663,0.69,0.6
24500039687,2095528757231,"(0.6363453269004822, 0.42231273651123047)","(50.12422561645508, 129.1161651611328, 38.94858169555664)",1,3.7286529541015625,1,"(-127.24401092529297, 129.44256591796875, 820.9185791015625)","(0.7133908867835999, 0.17824356257915497, 0.8814919590950012)",1,"(0.7393379807472229, 0.7650210857391357)","(87.98622131347656, 62.52286911010742, 14.710572242736816)",1,3.54547119140625,1,"(-66.4413070678711, 113.74254608154297, 825.7957153320312)","(0.607478678226471, 0.21743714809417725, 0.8724716901779175)",1,1704723778674,0.69,0.59
24500050790,2095528768352,"(0.6374366879463196, 0.41706857085227966)","(50.525447845458984, 130.13519287109375, 39.31946563720703)",1,3.7367095947265625,1,"(-127.03089904785156, 129.45741271972656, 820.8919067382812)","(0.713028073310852, 0.17820385098457336, 0.8813799023628235)",1,"(0.7339438796043396, 0.7647010087966919)","(86.00324249267578, 62.58507537841797, 14.7332124710083)",1,3.573516845703125,1,"(-66.21155548095703, 113.76603698730469, 825.7556762695312)","(0.6070875525474548, 0.21737520396709442, 0.8723625540733337)",1,1704723778685,0.69,0.59
24500061893,2095528779475,"(0.6339882612228394, 0.4148304760456085)","(49.2577018737793, 130.57008361816406, 39.47775650024414)",1,3.758819580078125,1,"(-126.80946350097656, 129.4562530517578, 820.7568969726562)","(0.7126798033714294, 0.17816145718097687, 0.8810489773750305)",1,"(0.7375530004501343, 0.7629680633544922)","(87.33002471923828, 62.92179489135742, 14.855782508850098)",1,3.572357177734375,1,"(-65.9878158569336, 113.77153015136719, 825.6060791015625)","(0.6067218780517578, 0.21731959283351898, 0.8720330595970154)",1,1704723778723,0.69,0.59
24500072996,2095528790600,"(0.6342052817344666, 0.40736910700798035)","(49.33747863769531, 132.01992797851562, 40.00545120239258)",1,3.7481842041015625,1,"(-126.58637237548828, 129.4623565673828, 820.775146484375)","(0.7122877836227417, 0.17815881967544556, 0.8810192942619324)",1,"(0.7395015954971313, 0.7586633563041687)","(88.0464096069336, 63.758243560791016, 15.16025161743164)",1,3.580963134765625,1,"(-65.74928283691406, 113.787841796875, 825.6102905273438)","(0.6063096523284912, 0.21728841960430145, 0.8720084428787231)",1,1704723778724,0.69,0.58
24500084100,2095528801721,"(0.6322489976882935, 0.4118400812149048)","(48.61832046508789, 131.1511688232422, 39.68925476074219)",1,3.744232177734375,1,"(-126.36727142333984, 129.47299194335938, 820.7511596679688)","(0.7119137644767761, 0.17813006043434143, 0.8809096813201904)",1,"(0.7398819327354431, 0.7620980143547058)","(88.18621826171875, 63.090843200683594, 14.917333602905273)",1,3.5678863525390625,1,"(-65.51744079589844, 113.80465698242188, 825.5718383789062)","(0.6059147119522095, 0.21724238991737366, 0.8719006180763245)",1,1704723778724,0.69,0.59
24500095203,2095528812828,"(0.6296088695526123, 0.4135167896747589)","(47.64775848388672, 130.82533264160156, 39.5706672668457)",1,3.7436370849609375,1,"(-126.14653778076172, 129.4550018310547, 820.6237182617188)","(0.7115647792816162, 0.1781294047832489, 0.8805890083312988)",1,"(0.7391269207000732, 0.7589725852012634)","(87.90864562988281, 63.69818115234375, 15.138373374938965)",1,3.5773773193359375,1,"(-65.2957534790039, 113.78958129882812, 825.4295654296875)","(0.6055516600608826, 0.21723636984825134, 0.8715808391571045)",1,1704723778730,0.68,0.59
24500106306,2095528823935,"(0.6255536675453186, 0.4122169613838196)","(46.15699005126953, 131.0779571533203, 39.662540435791016)",1,3.74993896484375,1,"(-125.91775512695312, 129.46502685546875, 820.6419067382812)","(0.7111627459526062, 0.1781177967786789, 0.880558967590332)",1,"(0.7381962537765503, 0.7484676837921143)","(87.56653594970703, 65.73944854736328, 15.8812894821167)",1,3.588226318359375,1,"(-65.05449676513672, 113.79742431640625, 825.4309692382812)","(0.6051351428031921, 0.2172238677740097, 0.8715481162071228)",1,1704723778741,0.68,0.58
24500117409,2095528835042,"(0.6272389888763428, 0.4155043065547943)","(46.77653121948242, 130.43919372558594, 39.4300422668457)",1,3.7482452392578125,1,"(-125.70885467529297, 129.48486328125, 820.6898193359375)","(0.7107873558998108, 0.17809389531612396, 0.8805960416793823)",1,"(0.7418010830879211, 0.7405954003334045)","(88.8917465209961, 67.26914978027344, 16.43804931640625)",1,3.5767669677734375,1,"(-64.8325424194336, 113.81368255615234, 825.4633178710938)","(0.6047476530075073, 0.21720145642757416, 0.8715819120407104)",1,1704723778752,0.68,0.58
