device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
3218843454,2163308522317,"(0.7876267433166504, 0.7110450863838196)","(105.73808288574219, 73.01121520996094, 18.528030395507812)",1,4.9192047119140625,1,"(-76.370361328125, 33.95457458496094, 871.5477294921875)","(0.6189250946044922, 0.4048992395401001, 0.9510920643806458)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557245,0.7876267433166504,0.7110450863838196
3218854557,2163308533420,"(0.7896959185600281, 0.7073357105255127)","(106.49872589111328, 73.73198699951172, 18.790382385253906)",1,4.904998779296875,1,"(-76.49614715576172, 33.84146499633789, 871.3084106445312)","(0.6191663146018982, 0.40512239933013916, 0.9506287574768066)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557256,0.7896959185600281,0.7073357105255127
3218865660,2163308544523,"(0.7927279472351074, 0.7152549624443054)","(107.61334991455078, 72.19314575195312, 18.23027992248535)",1,4.9181976318359375,1,"(-76.58729553222656, 33.76093292236328, 871.1689453125)","(0.6193363666534424, 0.40528398752212524, 0.9503608345985413)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557267,0.7927279472351074,0.7152549624443054
3218876763,2163308555626,"(0.7925570607185364, 0.7163078188896179)","(107.550537109375, 71.98860168457031, 18.15582847595215)",1,4.9186248779296875,1,"(-76.73179626464844, 33.632686614990234, 871.1421508789062)","(0.6195781230926514, 0.4055582582950592, 0.9503228664398193)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557278,0.7925570607185364,0.7163078188896179
3218887866,2163308566730,"(0.7896450161933899, 0.7242162227630615)","(106.47998809814453, 70.45187377929688, 17.596498489379883)",1,4.9382171630859375,1,"(-76.90687561035156, 33.48331832885742, 870.78369140625)","(0.6199178695678711, 0.4058495759963989, 0.9496286511421204)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557289,0.7896450161933899,0.7242162227630615
3218898969,2163308577833,"(0.7661146521568298, 0.7501165866851807)","(97.8298110961914, 65.41905212402344, 15.76472282409668)",1,4.9541168212890625,1,"(-77.01681518554688, 33.37064743041992, 870.57470703125)","(0.6201293468475342, 0.4060751497745514, 0.9492232799530029)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557300,0.7661146521568298,0.7501165866851807
3218910072,2163308588937,"(0.7646058201789856, 0.7553188800811768)","(97.27513885498047, 64.40816497802734, 15.3967866897583)",1,4.9771881103515625,1,"(-77.13963317871094, 33.276939392089844, 870.2054443359375)","(0.6203847527503967, 0.40624552965164185, 0.9485026597976685)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557311,0.7646058201789856,0.7553188800811768
3218921175,2163308600040,"(0.7632254958152771, 0.7546188235282898)","(96.76771545410156, 64.544189453125, 15.4462890625)",1,4.9883270263671875,1,"(-77.2254638671875, 33.23012924194336, 870.0560302734375)","(0.6205474734306335, 0.40633323788642883, 0.9482167959213257)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557343,0.7632254958152771,0.7546188235282898
3218932279,2163308611144,"(0.7643409967422485, 0.756299614906311)","(97.17782592773438, 64.21758270263672, 15.32737922668457)",1,4.999542236328125,1,"(-77.32902526855469, 33.187137603759766, 869.89404296875)","(0.6207409501075745, 0.40641120076179504, 0.9479092955589294)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557343,0.7643409967422485,0.756299614906311
3218943382,2163308622247,"(0.7608070969581604, 0.7537276148796082)","(95.87869262695312, 64.71734619140625, 15.509293556213379)",1,5.0024261474609375,1,"(-77.43659973144531, 33.130123138427734, 869.640869140625)","(0.6209545135498047, 0.40651193261146545, 0.9474201798439026)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557345,0.7608070969581604,0.7537276148796082
3218954485,2163308633350,"(0.7596390247344971, 0.752912163734436)","(95.44927978515625, 64.8758316040039, 15.566967964172363)",1,4.9869537353515625,1,"(-77.5419692993164, 33.072391510009766, 869.4329833984375)","(0.6211580634117126, 0.4066182076931, 0.9470206499099731)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557360,0.7596390247344971,0.752912163734436
