Obsv.	Frame	Capture Time	System Time	Sensor Time	Lft X Pos	Lft Y Pos	Lft Pupil Diameter	Rt X Pos	Rt Y Pos	Rt Pupil Diameter	L Display	R Display	L Quality	R Quality	Lft Pupil Quality	Rt Pupil Quality	L Eye Rot (X)	L Eye Rot (Y)	L Eye Rot (Z)	R Eye Rot (X)	R Eye Rot (Y)	R Eye Rot (Z)	L Eye Pos (X)	L Eye Pos (Y)	L Eye Pos (Z)	R Eye Pos (X)	R Eye Pos (Y)	R Eye Pos (Z)	Head Rot (X)	Head Rot (Y)	Head Rot (Z)	Head Pos (X)	Head Pos (Y)	Head Pos (Z)	L Eyelid Valid	L Eyelid Opening	R Eyelid Valid	R Eyelid Opening
1	2164	348345660122	1705937224875662	348341525572	102.172100	28.637100	3.269669	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.315969	0.573522	0.000000	0.000000	0.000000	0.000000	0.005825	-0.052600	0.526694	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
2	2165	348345678071	1705937224893611	348341541784	500.666800	500.239400	3.333454	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.250466	-0.623513	0.000000	0.000000	0.000000	0.000000	0.001517	-0.052134	0.526062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
3	2166	348345692311	1705937224907851	348341557998	137.766900	62.793200	3.314661	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.306773	0.551378	0.000000	0.000000	0.000000	0.000000	0.006025	-0.052328	0.523530	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
4	2167	348345707272	1705937224922812	348341574161	500.670700	500.243500	3.302778	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.253924	-0.629024	0.000000	0.000000	0.000000	0.000000	0.001515	-0.051672	0.520637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
5	2168	348345724300	1705937224939840	348341590452	155.560700	47.061400	3.347915	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.314532	0.529873	0.000000	0.000000	0.000000	0.000000	0.007378	-0.052959	0.530167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
6	2169	348345741200	1705937224956740	348341607031	500.664900	500.239500	3.333834	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.250875	-0.621372	0.000000	0.000000	0.000000	0.000000	0.002740	-0.052040	0.525896	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
7	2170	348345758152	1705937224973692	348341623329	152.746900	45.991000	3.337540	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.314649	0.533465	0.000000	0.000000	0.000000	0.000000	0.007910	-0.052564	0.528351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
8	2171	348345773109	1705937224988649	348341639491	500.665200	500.219800	3.366582	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.234170	-0.619128	0.000000	0.000000	0.000000	0.000000	0.003821	-0.052068	0.529088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
9	2172	348345791077	1705937225006617	348341655681	500.599700	500.212000	3.352824	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.236184	-0.570716	0.000000	0.000000	0.000000	0.000000	0.008002	-0.051621	0.522602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
10	2173	348345806028	1705937225021568	348341672124	500.722600	500.259000	3.342358	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.259691	-0.665542	0.000000	0.000000	0.000000	0.000000	0.003556	-0.050361	0.516896	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
11	2174	348345820988	1705937225036528	348341688043	283.008400	70.594800	3.370717	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.320312	0.420223	0.000000	0.000000	0.000000	0.000000	0.008571	-0.050303	0.516100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
12	2175	348345835947	1705937225051487	348341704284	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
13	2176	348345853902	1705937225069442	348341720504	269.587100	32.626200	3.379221	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.332332	0.423347	0.000000	0.000000	0.000000	0.000000	0.010509	-0.050834	0.527496	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
14	2177	348345868864	1705937225084404	348341736878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
15	2178	348345883823	1705937225099363	348341753060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
16	2179	348345903770	1705937225119310	348341769088	499.513400	500.329800	3.381191	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.345737	0.492519	0.000000	0.000000	0.000000	0.000000	0.011703	-0.049767	0.529555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
17	2180	348345917919	1705937225133459	348341785325	301.328500	203.992900	3.374249	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.254703	0.423660	0.000000	0.000000	0.000000	0.000000	0.012155	-0.049666	0.534853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
18	2181	348345934905	1705937225150445	348341801942	499.543100	500.335100	3.320124	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.353242	0.467152	0.000000	0.000000	0.000000	0.000000	0.011975	-0.048797	0.530666	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
19	2182	348345949838	1705937225165378	348341817664	499.586200	500.317400	3.340717	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.343315	0.429160	0.000000	0.000000	0.000000	0.000000	0.011739	-0.048175	0.530938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
20	2183	348345964794	1705937225180334	348341833865	499.530500	500.348600	3.399891	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.361350	0.477193	0.000000	0.000000	0.000000	0.000000	0.012077	-0.047695	0.532331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
21	2184	348345982553	1705937225198093	348341850101	499.546300	500.333600	3.422354	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.350788	0.463945	0.000000	0.000000	0.000000	0.000000	0.011516	-0.046830	0.530839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
22	2185	348346000484	1705937225216024	348341866567	499.539800	500.335500	3.491370	0.000000	0.000000	0.000000	0	0	3	0	0	0	0.350637	0.469182	0.000000	0.000000	0.000000	0.000000	0.011713	-0.046247	0.531983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
23	2186	348346015439	1705937225230980	348341882741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
24	2187	348346030402	1705937225245942	348341899000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
25	2188	348346045362	1705937225260902	348341915046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
26	2189	348346066307	1705937225281847	348341931260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
27	2190	348346078276	1705937225293815	348341947324	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
28	2191	348346096226	1705937225311766	348341963464	566.007000	65.619800	3.534609	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.324579	0.116562	0.000000	0.000000	0.000000	0.000000	0.011504	-0.040450	0.533045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
29	2192	348346114158	1705937225329698	348341979821	624.934400	59.084800	3.514226	0.000000	0.000000	0.000000	1	0	3	0	0	0	0.326141	0.051422	0.000000	0.000000	0.000000	0.000000	0.011176	-0.039366	0.533285	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
