device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
8963014674,348517013040,"(0.5924644470214844, 0.03838926926255226)","(33.992759704589844, 203.71820068359375, 66.1014404296875)",1,4.16949462890625,1,"(-8.847209930419922, 35.59688949584961, 824.5896606445312)","(0.509414553642273, 0.39824792742729187, 0.8508100509643555)",1,"(0.6120727062225342, 0.0816604420542717)","(41.20112609863281, 195.30996704101562, 63.04105758666992)",1,4.505401611328125,1,"(50.533267974853516, 21.293344497680664, 822.5745849609375)","(0.4069282114505768, 0.43231233954429626, 0.848800778388977)",1,1705937396245,0.6,0.06
8963025777,348517024143,"(0.620164155960083, 0.04583381116390228)","(44.17569351196289, 202.27159118652344, 65.5749282836914)",1,4.1744537353515625,1,"(-8.720694541931152, 35.71128463745117, 827.062255859375)","(0.509151041507721, 0.3982336223125458, 0.8557577133178711)",1,"(0.6354261636734009, 0.08728250861167908)","(49.78630065917969, 194.21751403808594, 62.6434440612793)",1,4.5008392333984375,1,"(50.80229949951172, 21.362831115722656, 825.0321655273438)","(0.4067244231700897, 0.4323013424873352, 0.8537415862083435)",1,1705937396256,0.63,0.07
8963036880,348517035241,"(0.6392698884010315, 0.04348039999604225)","(51.19931411743164, 202.72891235351562, 65.74136352539062)",1,4.159637451171875,1,"(-8.862536430358887, 35.66857147216797, 826.3945922851562)","(0.5094076991081238, 0.3982623517513275, 0.8544229865074158)",1,"(0.6571199893951416, 0.08610060811042786)","(57.76137161254883, 194.44717407226562, 62.727020263671875)",1,4.500396728515625,1,"(50.59758758544922, 21.336132049560547, 824.378173828125)","(0.40700849890708923, 0.43232032656669617, 0.8524100184440613)",1,1705937396267,0.65,0.06
8963047983,348517046338,"(0.6452867984771729, 0.04376038536429405)","(53.41124725341797, 202.67449951171875, 65.72161102294922)",1,4.167266845703125,1,"(-8.947287559509277, 35.679073333740234, 825.8956298828125)","(0.5095624327659607, 0.3981868028640747, 0.8534287214279175)",1,"(0.6529868841171265, 0.07746496796607971)","(56.241943359375, 196.12518310546875, 63.33782196044922)",1,4.4949188232421875,1,"(50.46943283081055, 21.359041213989258, 823.8870239257812)","(0.40717723965644836, 0.4322362244129181, 0.8514153957366943)",1,1705937396278,0.65,0.06
8963059086,348517057435,"(0.6460839509963989, 0.04202524945139885)","(53.70430374145508, 203.0116424560547, 65.84432983398438)",1,4.17376708984375,1,"(-9.01655387878418, 35.7006721496582, 825.9326171875)","(0.5096808671951294, 0.3981393873691559, 0.8535060882568359)",1,"(0.6551065444946289, 0.06812595576047897)","(57.02116394042969, 197.93991088867188, 63.99833297729492)",1,4.485626220703125,1,"(50.39773178100586, 21.380205154418945, 823.9288330078125)","(0.40730521082878113, 0.43218836188316345, 0.8514912128448486)",1,1705937396289,0.65,0.06
8963070190,348517068533,"(0.6452528834342957, 0.046647436916828156)","(53.39876937866211, 202.11351013183594, 65.51741027832031)",1,4.1645355224609375,1,"(-9.080296516418457, 35.69233703613281, 825.8021240234375)","(0.509793221950531, 0.3981441855430603, 0.8532458543777466)",1,"(0.6544668078422546, 0.0651017352938652)","(56.78600311279297, 198.52752685546875, 64.21222686767578)",1,4.4742889404296875,1,"(50.3227653503418, 21.37415885925293, 823.8036499023438)","(0.4074215292930603, 0.432193398475647, 0.8512319326400757)",1,1705937396301,0.65,0.06
8963081293,348517079632,"(0.6520051956176758, 0.044727880507707596)","(55.88105392456055, 202.4865264892578, 65.6530990600586)",1,4.135955810546875,1,"(-9.148022651672363, 35.72964859008789, 825.7699584960938)","(0.509909987449646, 0.3980537950992584, 0.8531864285469055)",1,"(0.6555256843566895, 0.06322015821933746)","(57.175270080566406, 198.8931427001953, 64.3453140258789)",1,4.4620819091796875,1,"(50.25048065185547, 21.40823745727539, 823.7757568359375)","(0.4075429439544678, 0.4321117401123047, 0.8511691689491272)",1,1705937396338,0.65,0.05
8963092396,348517090734,"(0.6522836089134216, 0.04453381896018982)","(55.983436584472656, 202.52420043945312, 65.66680908203125)",1,4.116607666015625,1,"(-9.226205825805664, 35.74436950683594, 825.76416015625)","(0.5100446343421936, 0.3980177342891693, 0.8531778454780579)",1,"(0.6526055932044983, 0.0680767372250557)","(56.10179901123047, 197.94944763183594, 64.00183868408203)",1,4.4578704833984375,1,"(50.17110061645508, 21.420434951782227, 823.7754516601562)","(0.40767985582351685, 0.4320819079875946, 0.8511595726013184)",1,1705937396339,0.65,0.06
8963103499,348517101835,"(0.6512101888656616, 0.04977499693632126)","(55.58879089355469, 201.50579833984375, 65.296142578125)",1,4.1668853759765625,1,"(-9.241195678710938, 35.72269058227539, 826.0343627929688)","(0.5100657343864441, 0.39809417724609375, 0.8537160754203796)",1,"(0.6515551209449768, 0.07093924283981323)","(55.715614318847656, 197.3932342529297, 63.79939651489258)",1,4.4607086181640625,1,"(50.17222213745117, 21.393104553222656, 824.0465698242188)","(0.4077070355415344, 0.43216076493263245, 0.8516993522644043)",1,1705937396339,0.65,0.06
8963114602,348517112937,"(0.7201353907585144, 0.06522927433252335)","(80.92698669433594, 198.50279235839844, 64.20317077636719)",1,4.1865386962890625,1,"(-8.978347778320312, 35.572898864746094, 827.235595703125)","(0.5095934867858887, 0.3985629677772522, 0.8560976386070251)",1,"(0.7329792976379395, 0.09559287875890732)","(85.6486587524414, 192.60269165039062, 62.05573654174805)",1,4.4793548583984375,1,"(50.51378631591797, 21.163137435913086, 825.2273559570312)","(0.4072461426258087, 0.4327659010887146, 0.8540854454040527)",1,1705937396345,0.73,0.08
